"Time","Contracts","Funding Interval","Funding Rate"
"2024-07-19 09:00:00","ETHUSDT Perpetual","8h","0.004387%"
"2024-07-19 01:00:00","ETHUSDT Perpetual","8h","0.003237%"
"2024-07-18 17:00:00","ETHUSDT Perpetual","8h","0.006726%"
"2024-07-18 09:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-18 01:00:00","ETHUSDT Perpetual","8h","0.006113%"
"2024-07-17 17:00:00","ETHUSDT Perpetual","8h","0.008064%"
"2024-07-17 09:00:00","ETHUSDT Perpetual","8h","0.005824%"
"2024-07-17 01:00:00","ETHUSDT Perpetual","8h","0.006395%"
"2024-07-16 17:00:00","ETHUSDT Perpetual","8h","0.009799%"
"2024-07-16 09:00:00","ETHUSDT Perpetual","8h","0.002643%"
"2024-07-16 01:00:00","ETHUSDT Perpetual","8h","0.004690%"
"2024-07-15 17:00:00","ETHUSDT Perpetual","8h","0.004043%"
"2024-07-15 09:00:00","ETHUSDT Perpetual","8h","0.009653%"
"2024-07-15 01:00:00","ETHUSDT Perpetual","8h","0.003194%"
"2024-07-14 17:00:00","ETHUSDT Perpetual","8h","0.006352%"
"2024-07-14 09:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-14 01:00:00","ETHUSDT Perpetual","8h","0.007584%"
"2024-07-13 17:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-13 09:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-13 01:00:00","ETHUSDT Perpetual","8h","0.007154%"
"2024-07-12 17:00:00","ETHUSDT Perpetual","8h","0.004730%"
"2024-07-12 09:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-12 01:00:00","ETHUSDT Perpetual","8h","0.005602%"
"2024-07-11 17:00:00","ETHUSDT Perpetual","8h","0.008656%"
"2024-07-11 09:00:00","ETHUSDT Perpetual","8h","0.004282%"
"2024-07-11 01:00:00","ETHUSDT Perpetual","8h","0.010000%"
"2024-07-10 17:00:00","ETHUSDT Perpetual","8h","0.001713%"
